Date,Close,High,Low,Open,Volume
2015-01-02,24.192598342895508,24.659500349797334,23.75446219426633,24.648435649103693,212818400
2015-01-05,23.511058807373047,24.042132473375155,23.325183952802462,23.962471339063004,257142000
2015-01-06,23.51326560974121,23.77216338083341,23.152577326433928,23.575223877533926,263188400
2015-01-07,23.842985153198242,23.94256075000495,23.61063984299987,23.721280145334898,160423600
2015-01-08,24.759082794189453,24.816616214984087,24.053197237023646,24.170477357014917,237458000
2015-01-09,24.785633087158203,25.06002047662429,24.387327450645735,24.931677361721775,214798000
2015-01-12,24.17490005493164,24.922827705158852,24.075324482860438,24.916189558785653,198603200
2015-01-13,24.38954734802246,24.96045168588844,24.09967031003242,24.657296664253337,268367600
2015-01-14,24.296607971191406,24.449290420951467,24.00894254649171,24.12843426037142,195826400
2015-01-15,23.637189865112305,24.354138422379428,23.601785852626346,24.340862128726783,240056000
2015-01-16,23.453527450561523,23.80536443937961,23.278715595370205,23.683659448981608,314053200
2015-01-20,24.0576171875,24.112937314701487,23.566374187832995,23.862889259279534,199599600
2015-01-21,24.241281509399414,24.575413877251222,23.958041027221938,24.108511847532693,194303600
2015-01-22,24.871938705444336,24.887428279247118,24.278906655479844,24.39839837691712,215185600
2015-01-23,25.00027847290039,25.170663761693863,24.679420647171945,24.849807624202118,185859200
2015-01-26,25.026830673217773,25.30564464790185,24.960447519022203,25.168450094718995,222460000
2015-01-27,24.150554656982422,24.889632436142726,24.126213665893424,24.876354457580167,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.31025505065918,26.374426606206118,25.571177211115504,25.73935088467864,337745600
2015-01-30,25.92522621154785,26.553662070188867,25.856628103199135,26.19961358023362,334982000
2015-02-02,26.250518798828125,26.370010533740277,25.686254242464035,26.122177324948062,250956400
2015-02-03,26.254932403564453,26.352294678311385,26.024800474481754,26.22173998998051,207662800
2015-02-04,26.456302642822266,26.666520183230848,26.179701948787283,26.221745794516334,280598800
2015-02-05,26.645130157470703,26.709554969732874,26.49184347674695,26.662901175243686,168984800
2015-02-06,26.42075538635254,26.713998377671132,26.314120800918854,26.662902250403082,174826400
2015-02-09,26.596254348754883,26.622911721163728,26.309675731066406,26.33633479837431,155559200
2015-02-10,27.10721778869629,27.1360988800661,26.694013099240877,26.69623341788492,248034000
2015-02-11,27.742582321166992,27.751468681803974,27.213856575016383,27.27383739069104,294247200
2015-02-12,28.093576431274414,28.320174313577628,27.895859634991865,28.004714549879026,297898000
2015-02-13,28.2313175201416,28.27574762139696,27.913637380956622,28.27574762139696,217088800
2015-02-17,28.397933959960938,28.63119623716081,28.19577309373441,28.322400751240114,252609600
2015-02-18,28.595640182495117,28.608968869421037,28.313503879969325,28.353491635646243,179566800
2015-02-19,28.535661697387695,28.664511338711634,28.50900431980301,28.542326041783866,149449600
2015-02-20,28.76893424987793,28.76893424987793,28.44681172581227,28.57343770460222,195793600
